Date,60-day
3/1/2012, 0.5937 
2/1/2012, 0.5963 
30/12/2011, 0.6073 
29/12/2011, 0.6043 
28/12/2011, 0.6046 
27/12/2011, 0.5988 
26/12/2011, 0.5994 
23/12/2011, 0.6148 
22/12/2011, 0.6193 
21/12/2011, 0.6149 
20/12/2011, 0.6261 
19/12/2011, 0.6180 
16/12/2011, 0.6170 
15/12/2011, 0.6148 
14/12/2011, 0.6249 
13/12/2011, 0.6318 
12/12/2011, 0.6293 
9/12/2011, 0.6277 
8/12/2011, 0.6224 
7/12/2011, 0.6176 
6/12/2011, 0.6193 
5/12/2011, 0.6204 
2/12/2011, 0.6196 
1/12/2011, 0.6290 
30/11/2011, 0.6309 
29/11/2011, 0.6260 
28/11/2011, 0.6271 
25/11/2011, 0.6212 
24/11/2011, 0.6290 
23/11/2011, 0.6276 
22/11/2011, 0.6219 
21/11/2011, 0.6219 
18/11/2011, 0.6308 
17/11/2011, 0.6346 
16/11/2011, 0.6347 
15/11/2011, 0.6323 
14/11/2011, 0.6409 
11/11/2011, 0.6383 
10/11/2011, 0.6360 
9/11/2011, 0.6547 
8/11/2011, 0.6418 
7/11/2011, 0.6429 
4/11/2011, 0.6463 
3/11/2011, 0.6447 
2/11/2011, 0.6601 
1/11/2011, 0.6674 
31/10/2011, 0.6730 
28/10/2011, 0.7045 
27/10/2011, 0.7040 
26/10/2011, 0.7163 
25/10/2011, 0.7178 
24/10/2011, 0.7192 
21/10/2011, 0.7189 
20/10/2011, 0.7168 
19/10/2011, 0.7153 
18/10/2011, 0.7173 
17/10/2011, 0.7150 
14/10/2011, 0.7138 
13/10/2011, 0.7113 
12/10/2011, 0.7116 
11/10/2011, 0.7105 
10/10/2011, 0.7128 
7/10/2011, 0.7077 
6/10/2011, 0.7085 
5/10/2011, 0.7071 
4/10/2011, 0.7089 
3/10/2011, 0.7073 
30/9/2011, 0.7045 
29/9/2011, 0.7032 
28/9/2011, 0.7076 
27/9/2011, 0.7048 
26/9/2011, 0.7049 
23/9/2011, 0.7055 
22/9/2011, 0.7099 
21/9/2011, 0.7093 
20/9/2011, 0.7054 
19/9/2011, 0.7089 
16/9/2011, 0.7099 
15/9/2011, 0.7107 
14/9/2011, 0.7085 
13/9/2011, 0.7078 
12/9/2011, 0.7090 
9/9/2011, 0.7107 
8/9/2011, 0.7073 
7/9/2011, 0.7065 
6/9/2011, 0.6997 
5/9/2011, 0.7021 
2/9/2011, 0.6992 
1/9/2011, 0.6952 
31/8/2011, 0.6955 
30/8/2011, 0.6960 
29/8/2011, 0.6973 
26/8/2011, 0.6880 
25/8/2011, 0.6857 
24/8/2011, 0.6837 
23/8/2011, 0.6875 
22/8/2011, 0.6786 
19/8/2011, 0.6822 
18/8/2011, 0.6840 
17/8/2011, 0.6685 
16/8/2011, 0.6695 
15/8/2011, 0.6701 
12/8/2011, 0.6673 
11/8/2011, 0.6706 
10/8/2011, 0.6447 
9/8/2011, 0.6385 
8/8/2011, 0.6051 
5/8/2011, 0.4930 
4/8/2011, 0.5041 
3/8/2011, 0.4228 
2/8/2011, 0.4283 
1/8/2011, 0.4079 
29/7/2011, 0.4097 
28/7/2011, 0.4114 
27/7/2011, 0.4150 
26/7/2011, 0.3969 
25/7/2011, 0.3994 
22/7/2011, 0.3957 
21/7/2011, 0.3966 
20/7/2011, 0.3905 
19/7/2011, 0.3939 
18/7/2011, 0.3827 
15/7/2011, 0.3746 
14/7/2011, 0.3806 
13/7/2011, 0.3738 
12/7/2011, 0.3799 
11/7/2011, 0.3804 
8/7/2011, 0.3661 
7/7/2011, 0.3634 
6/7/2011, 0.3580 
5/7/2011, 0.3579 
4/7/2011, 0.3589 
1/7/2011, 0.3545 
30/6/2011, 0.3424 
29/6/2011, 0.3401 
28/6/2011, 0.3363 
27/6/2011, 0.3262 
24/6/2011, 0.3240 
23/6/2011, 0.3210 
22/6/2011, 0.3227 
21/6/2011, 0.3259 
20/6/2011, 0.3170 
17/6/2011, 0.3145 
16/6/2011, 0.3160 
15/6/2011, 0.3221 
14/6/2011, 0.3059 
13/6/2011, 0.2942 
10/6/2011, 0.3081 
9/6/2011, 0.2949 
8/6/2011, 0.2953 
7/6/2011, 0.3034 
6/6/2011, 0.3078 
3/6/2011, 0.3010 
2/6/2011, 0.2945 
1/6/2011, 0.3150 
31/5/2011, 0.2827 
30/5/2011, 0.2833 
27/5/2011, 0.2866 
26/5/2011, 0.2869 
25/5/2011, 0.3018 
24/5/2011, 0.3013 
23/5/2011, 0.3152 
20/5/2011, 0.3022 
19/5/2011, 0.3124 
18/5/2011, 0.3103 
17/5/2011, 0.3090 
16/5/2011, 0.3337 
13/5/2011, 0.3352 
12/5/2011, 0.3286 
11/5/2011, 0.3264 
10/5/2011, 0.3230 
9/5/2011, 0.3176 
6/5/2011, 0.3153 
5/5/2011, 0.3172 
4/5/2011, 0.3172 
3/5/2011, 0.3153 
2/5/2011, 0.3160 
29/4/2011, 0.3162 
28/4/2011, 0.3174 
27/4/2011, 0.3183 
26/4/2011, 0.3168 
25/4/2011, 0.3227 
22/4/2011, 0.3225 
21/4/2011, 0.3351 
20/4/2011, 0.3332 
19/4/2011, 0.3252 
18/4/2011, 0.3225 
15/4/2011, 0.3152 
14/4/2011, 0.3118 
13/4/2011, 0.3108 
12/4/2011, 0.3195 
11/4/2011, 0.3163 
8/4/2011, 0.3192 
7/4/2011, 0.3164 
6/4/2011, 0.3160 
5/4/2011, 0.3186 
4/4/2011, 0.3194 
1/4/2011, 0.3173 
31/3/2011, 0.3154 
30/3/2011, 0.3132 
29/3/2011, 0.3110 
28/3/2011, 0.3093 
25/3/2011, 0.3118 
24/3/2011, 0.3136 
23/3/2011, 0.3115 
22/3/2011, 0.3133 
21/3/2011, 0.3133 
18/3/2011, 0.3040 
17/3/2011, 0.3065 
16/3/2011, 0.3053 
15/3/2011, 0.2946 
14/3/2011, 0.2909 
11/3/2011, 0.2876 
10/3/2011, 0.2850 
9/3/2011, 0.2667 
8/3/2011, 0.2697 
7/3/2011, 0.2646 
4/3/2011, 0.2586 
3/3/2011, 0.2563 
2/3/2011, 0.2385 
1/3/2011, 0.2376 
28/2/2011, 0.2181 
25/2/2011, 0.2194 
24/2/2011, 0.2054 
23/2/2011, 0.2150 
22/2/2011, 0.2297 
21/2/2011, 0.1965 
18/2/2011, 0.1956 
17/2/2011, 0.2034 
16/2/2011, 0.2067 
15/2/2011, 0.2218 
14/2/2011, 0.2364 
11/2/2011, 0.2368 
10/2/2011, 0.2357 
9/2/2011, 0.2460 
8/2/2011, 0.2468 
7/2/2011, 0.2707 
4/2/2011, 0.2702 
3/2/2011, 0.2848 
2/2/2011, 0.2865 
1/2/2011, 0.2879 
31/1/2011, 0.2841 
28/1/2011, 0.2827 
27/1/2011, 0.2578 
26/1/2011, 0.2751 
25/1/2011, 0.2765 
24/1/2011, 0.2821 
21/1/2011, 0.2801 
20/1/2011, 0.2799 
19/1/2011, 0.2774 
18/1/2011, 0.2624 
17/1/2011, 0.2603 
14/1/2011, 0.2572 
13/1/2011, 0.2542 
12/1/2011, 0.2515 
11/1/2011, 0.2540 
10/1/2011, 0.2718 
7/1/2011, 0.2721 
6/1/2011, 0.2711 
5/1/2011, 0.2745 
4/1/2011, 0.2767 
3/1/2011, 0.2752 
31/12/2010, 0.2710 
30/12/2010, 0.2696 
29/12/2010, 0.2678 
28/12/2010, 0.2669 
27/12/2010, 0.2824 
24/12/2010, 0.2866 
23/12/2010, 0.2837 
22/12/2010, 0.2815 
21/12/2010, 0.2819 
20/12/2010, 0.2827 
17/12/2010, 0.2851 
16/12/2010, 0.3106 
15/12/2010, 0.3123 
14/12/2010, 0.3111 
13/12/2010, 0.3143 
10/12/2010, 0.3233 
9/12/2010, 0.3222 
8/12/2010, 0.3240 
7/12/2010, 0.3248 
6/12/2010, 0.3238 
3/12/2010, 0.3287 
2/12/2010, 0.3282 
1/12/2010, 0.3238 
30/11/2010, 0.3066 
29/11/2010, 0.3154 
26/11/2010, 0.3178 
25/11/2010, 0.3197 
24/11/2010, 0.3205 
23/11/2010, 0.3484 
22/11/2010, 0.3383 
19/11/2010, 0.3557 
18/11/2010, 0.3683 
17/11/2010, 0.3672 
16/11/2010, 0.3667 
15/11/2010, 0.3620 
12/11/2010, 0.3651 
11/11/2010, 0.3553 
10/11/2010, 0.3714 
9/11/2010, 0.3721 
8/11/2010, 0.3759 
5/11/2010, 0.3762 
4/11/2010, 0.3798 
3/11/2010, 0.3741 
2/11/2010, 0.4174 
1/11/2010, 0.4198 
29/10/2010, 0.4218 
28/10/2010, 0.4233 
27/10/2010, 0.4251 
26/10/2010, 0.4275 
25/10/2010, 0.4288 
22/10/2010, 0.4403 
21/10/2010, 0.4416 
20/10/2010, 0.4375 
19/10/2010, 0.4381 
18/10/2010, 0.4265 
15/10/2010, 0.4334 
14/10/2010, 0.4338 
13/10/2010, 0.4446 
